pre,post,mask
tiles\images\EARTHQUAKE-TURKEY_004098_pre.png,tiles\images\EARTHQUAKE-TURKEY_004098_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004098_class.png
tiles\images\EARTHQUAKE-TURKEY_016402_pre.png,tiles\images\EARTHQUAKE-TURKEY_016402_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016402_class.png
tiles\images\EARTHQUAKE-TURKEY_018159_pre.png,tiles\images\EARTHQUAKE-TURKEY_018159_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018159_class.png
tiles\images\EARTHQUAKE-TURKEY_010055_pre.png,tiles\images\EARTHQUAKE-TURKEY_010055_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010055_class.png
tiles\images\EARTHQUAKE-TURKEY_008646_pre.png,tiles\images\EARTHQUAKE-TURKEY_008646_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008646_class.png
tiles\images\EARTHQUAKE-TURKEY_016909_pre.png,tiles\images\EARTHQUAKE-TURKEY_016909_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016909_class.png
tiles\images\EARTHQUAKE-TURKEY_003123_pre.png,tiles\images\EARTHQUAKE-TURKEY_003123_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003123_class.png
tiles\images\EARTHQUAKE-TURKEY_013018_pre.png,tiles\images\EARTHQUAKE-TURKEY_013018_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013018_class.png
tiles\images\EARTHQUAKE-TURKEY_003256_pre.png,tiles\images\EARTHQUAKE-TURKEY_003256_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003256_class.png
tiles\images\EARTHQUAKE-TURKEY_013310_pre.png,tiles\images\EARTHQUAKE-TURKEY_013310_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013310_class.png
tiles\images\EARTHQUAKE-TURKEY_001985_pre.png,tiles\images\EARTHQUAKE-TURKEY_001985_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001985_class.png
tiles\images\EARTHQUAKE-TURKEY_006275_pre.png,tiles\images\EARTHQUAKE-TURKEY_006275_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006275_class.png
tiles\images\EARTHQUAKE-TURKEY_007084_pre.png,tiles\images\EARTHQUAKE-TURKEY_007084_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007084_class.png
tiles\images\EARTHQUAKE-TURKEY_009951_pre.png,tiles\images\EARTHQUAKE-TURKEY_009951_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009951_class.png
tiles\images\EARTHQUAKE-TURKEY_013131_pre.png,tiles\images\EARTHQUAKE-TURKEY_013131_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013131_class.png
tiles\images\EARTHQUAKE-TURKEY_013927_pre.png,tiles\images\EARTHQUAKE-TURKEY_013927_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013927_class.png
tiles\images\EARTHQUAKE-TURKEY_003102_pre.png,tiles\images\EARTHQUAKE-TURKEY_003102_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003102_class.png
tiles\images\EARTHQUAKE-TURKEY_014306_pre.png,tiles\images\EARTHQUAKE-TURKEY_014306_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014306_class.png
tiles\images\EARTHQUAKE-TURKEY_001740_pre.png,tiles\images\EARTHQUAKE-TURKEY_001740_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001740_class.png
tiles\images\EARTHQUAKE-TURKEY_015988_pre.png,tiles\images\EARTHQUAKE-TURKEY_015988_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015988_class.png
tiles\images\EARTHQUAKE-TURKEY_011134_pre.png,tiles\images\EARTHQUAKE-TURKEY_011134_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011134_class.png
tiles\images\EARTHQUAKE-TURKEY_015723_pre.png,tiles\images\EARTHQUAKE-TURKEY_015723_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015723_class.png
tiles\images\EARTHQUAKE-TURKEY_007740_pre.png,tiles\images\EARTHQUAKE-TURKEY_007740_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007740_class.png
tiles\images\EARTHQUAKE-TURKEY_018103_pre.png,tiles\images\EARTHQUAKE-TURKEY_018103_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018103_class.png
tiles\images\EARTHQUAKE-TURKEY_013598_pre.png,tiles\images\EARTHQUAKE-TURKEY_013598_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013598_class.png
tiles\images\EARTHQUAKE-TURKEY_015175_pre.png,tiles\images\EARTHQUAKE-TURKEY_015175_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015175_class.png
tiles\images\EARTHQUAKE-TURKEY_002670_pre.png,tiles\images\EARTHQUAKE-TURKEY_002670_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002670_class.png
tiles\images\EARTHQUAKE-TURKEY_015538_pre.png,tiles\images\EARTHQUAKE-TURKEY_015538_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015538_class.png
tiles\images\EARTHQUAKE-TURKEY_009105_pre.png,tiles\images\EARTHQUAKE-TURKEY_009105_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009105_class.png
tiles\images\EARTHQUAKE-TURKEY_002347_pre.png,tiles\images\EARTHQUAKE-TURKEY_002347_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002347_class.png
tiles\images\EARTHQUAKE-TURKEY_009122_pre.png,tiles\images\EARTHQUAKE-TURKEY_009122_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009122_class.png
tiles\images\EARTHQUAKE-TURKEY_003801_pre.png,tiles\images\EARTHQUAKE-TURKEY_003801_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003801_class.png
tiles\images\EARTHQUAKE-TURKEY_001933_pre.png,tiles\images\EARTHQUAKE-TURKEY_001933_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001933_class.png
tiles\images\EARTHQUAKE-TURKEY_001778_pre.png,tiles\images\EARTHQUAKE-TURKEY_001778_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001778_class.png
tiles\images\EARTHQUAKE-TURKEY_006365_pre.png,tiles\images\EARTHQUAKE-TURKEY_006365_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006365_class.png
tiles\images\EARTHQUAKE-TURKEY_014121_pre.png,tiles\images\EARTHQUAKE-TURKEY_014121_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014121_class.png
tiles\images\EARTHQUAKE-TURKEY_014645_pre.png,tiles\images\EARTHQUAKE-TURKEY_014645_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014645_class.png
tiles\images\EARTHQUAKE-TURKEY_010927_pre.png,tiles\images\EARTHQUAKE-TURKEY_010927_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010927_class.png
tiles\images\EARTHQUAKE-TURKEY_005729_pre.png,tiles\images\EARTHQUAKE-TURKEY_005729_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005729_class.png
tiles\images\EARTHQUAKE-TURKEY_000805_pre.png,tiles\images\EARTHQUAKE-TURKEY_000805_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000805_class.png
tiles\images\EARTHQUAKE-TURKEY_003223_pre.png,tiles\images\EARTHQUAKE-TURKEY_003223_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003223_class.png
tiles\images\EARTHQUAKE-TURKEY_001212_pre.png,tiles\images\EARTHQUAKE-TURKEY_001212_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001212_class.png
tiles\images\EARTHQUAKE-TURKEY_012449_pre.png,tiles\images\EARTHQUAKE-TURKEY_012449_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012449_class.png
tiles\images\EARTHQUAKE-TURKEY_005226_pre.png,tiles\images\EARTHQUAKE-TURKEY_005226_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005226_class.png
tiles\images\EARTHQUAKE-TURKEY_014548_pre.png,tiles\images\EARTHQUAKE-TURKEY_014548_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014548_class.png
tiles\images\EARTHQUAKE-TURKEY_014276_pre.png,tiles\images\EARTHQUAKE-TURKEY_014276_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014276_class.png
tiles\images\EARTHQUAKE-TURKEY_018209_pre.png,tiles\images\EARTHQUAKE-TURKEY_018209_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018209_class.png
tiles\images\EARTHQUAKE-TURKEY_012850_pre.png,tiles\images\EARTHQUAKE-TURKEY_012850_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012850_class.png
tiles\images\EARTHQUAKE-TURKEY_002480_pre.png,tiles\images\EARTHQUAKE-TURKEY_002480_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002480_class.png
tiles\images\EARTHQUAKE-TURKEY_001779_pre.png,tiles\images\EARTHQUAKE-TURKEY_001779_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001779_class.png
tiles\images\EARTHQUAKE-TURKEY_013718_pre.png,tiles\images\EARTHQUAKE-TURKEY_013718_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013718_class.png
tiles\images\EARTHQUAKE-TURKEY_006514_pre.png,tiles\images\EARTHQUAKE-TURKEY_006514_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006514_class.png
tiles\images\EARTHQUAKE-TURKEY_011385_pre.png,tiles\images\EARTHQUAKE-TURKEY_011385_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011385_class.png
tiles\images\EXTRA_001_pre.png,tiles\images\EXTRA_001_post.png,pseudo_labels\masks\EXTRA_001_class.png
tiles\images\EARTHQUAKE-TURKEY_006317_pre.png,tiles\images\EARTHQUAKE-TURKEY_006317_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006317_class.png
tiles\images\EARTHQUAKE-TURKEY_010172_pre.png,tiles\images\EARTHQUAKE-TURKEY_010172_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010172_class.png
tiles\images\EARTHQUAKE-TURKEY_016395_pre.png,tiles\images\EARTHQUAKE-TURKEY_016395_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016395_class.png
tiles\images\EARTHQUAKE-TURKEY_006219_pre.png,tiles\images\EARTHQUAKE-TURKEY_006219_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006219_class.png
tiles\images\EARTHQUAKE-TURKEY_016537_pre.png,tiles\images\EARTHQUAKE-TURKEY_016537_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016537_class.png
tiles\images\EARTHQUAKE-TURKEY_003280_pre.png,tiles\images\EARTHQUAKE-TURKEY_003280_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003280_class.png
tiles\images\EARTHQUAKE-TURKEY_002664_pre.png,tiles\images\EARTHQUAKE-TURKEY_002664_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002664_class.png
tiles\images\EARTHQUAKE-TURKEY_009153_pre.png,tiles\images\EARTHQUAKE-TURKEY_009153_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_009153_class.png
tiles\images\EARTHQUAKE-TURKEY_002650_pre.png,tiles\images\EARTHQUAKE-TURKEY_002650_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002650_class.png
tiles\images\EARTHQUAKE-TURKEY_008693_pre.png,tiles\images\EARTHQUAKE-TURKEY_008693_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008693_class.png
tiles\images\EARTHQUAKE-TURKEY_011984_pre.png,tiles\images\EARTHQUAKE-TURKEY_011984_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011984_class.png
tiles\images\EARTHQUAKE-TURKEY_007391_pre.png,tiles\images\EARTHQUAKE-TURKEY_007391_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007391_class.png
tiles\images\EARTHQUAKE-TURKEY_012166_pre.png,tiles\images\EARTHQUAKE-TURKEY_012166_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012166_class.png
tiles\images\EARTHQUAKE-TURKEY_005577_pre.png,tiles\images\EARTHQUAKE-TURKEY_005577_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005577_class.png
tiles\images\EARTHQUAKE-TURKEY_015326_pre.png,tiles\images\EARTHQUAKE-TURKEY_015326_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015326_class.png
tiles\images\EARTHQUAKE-TURKEY_008598_pre.png,tiles\images\EARTHQUAKE-TURKEY_008598_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008598_class.png
tiles\images\EARTHQUAKE-TURKEY_003797_pre.png,tiles\images\EARTHQUAKE-TURKEY_003797_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003797_class.png
tiles\images\EARTHQUAKE-TURKEY_010337_pre.png,tiles\images\EARTHQUAKE-TURKEY_010337_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010337_class.png
tiles\images\EXTRA_003_pre.png,tiles\images\EXTRA_003_post.png,pseudo_labels\masks\EXTRA_003_class.png
tiles\images\EARTHQUAKE-TURKEY_000562_pre.png,tiles\images\EARTHQUAKE-TURKEY_000562_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000562_class.png
tiles\images\EARTHQUAKE-TURKEY_001330_pre.png,tiles\images\EARTHQUAKE-TURKEY_001330_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001330_class.png
tiles\images\EARTHQUAKE-TURKEY_015918_pre.png,tiles\images\EARTHQUAKE-TURKEY_015918_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015918_class.png
tiles\images\EARTHQUAKE-TURKEY_000900_pre.png,tiles\images\EARTHQUAKE-TURKEY_000900_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000900_class.png
tiles\images\EARTHQUAKE-TURKEY_000568_pre.png,tiles\images\EARTHQUAKE-TURKEY_000568_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000568_class.png
tiles\images\EARTHQUAKE-TURKEY_013501_pre.png,tiles\images\EARTHQUAKE-TURKEY_013501_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013501_class.png
tiles\images\EARTHQUAKE-TURKEY_004669_pre.png,tiles\images\EARTHQUAKE-TURKEY_004669_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004669_class.png
tiles\images\EARTHQUAKE-TURKEY_017473_pre.png,tiles\images\EARTHQUAKE-TURKEY_017473_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017473_class.png
tiles\images\EARTHQUAKE-TURKEY_005869_pre.png,tiles\images\EARTHQUAKE-TURKEY_005869_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005869_class.png
tiles\images\EARTHQUAKE-TURKEY_005967_pre.png,tiles\images\EARTHQUAKE-TURKEY_005967_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005967_class.png
tiles\images\EARTHQUAKE-TURKEY_005302_pre.png,tiles\images\EARTHQUAKE-TURKEY_005302_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005302_class.png
tiles\images\EARTHQUAKE-TURKEY_005472_pre.png,tiles\images\EARTHQUAKE-TURKEY_005472_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005472_class.png
tiles\images\EARTHQUAKE-TURKEY_005672_pre.png,tiles\images\EARTHQUAKE-TURKEY_005672_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005672_class.png
tiles\images\EARTHQUAKE-TURKEY_012221_pre.png,tiles\images\EARTHQUAKE-TURKEY_012221_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012221_class.png
tiles\images\EARTHQUAKE-TURKEY_004788_pre.png,tiles\images\EARTHQUAKE-TURKEY_004788_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_004788_class.png
tiles\images\EARTHQUAKE-TURKEY_015303_pre.png,tiles\images\EARTHQUAKE-TURKEY_015303_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015303_class.png
tiles\images\EARTHQUAKE-TURKEY_005796_pre.png,tiles\images\EARTHQUAKE-TURKEY_005796_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005796_class.png
tiles\images\EARTHQUAKE-TURKEY_018051_pre.png,tiles\images\EARTHQUAKE-TURKEY_018051_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_018051_class.png
tiles\images\EARTHQUAKE-TURKEY_008752_pre.png,tiles\images\EARTHQUAKE-TURKEY_008752_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008752_class.png
tiles\images\EARTHQUAKE-TURKEY_006757_pre.png,tiles\images\EARTHQUAKE-TURKEY_006757_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006757_class.png
tiles\images\EARTHQUAKE-TURKEY_003344_pre.png,tiles\images\EARTHQUAKE-TURKEY_003344_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_003344_class.png
tiles\images\EARTHQUAKE-TURKEY_001233_pre.png,tiles\images\EARTHQUAKE-TURKEY_001233_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_001233_class.png
tiles\images\EARTHQUAKE-TURKEY_010130_pre.png,tiles\images\EARTHQUAKE-TURKEY_010130_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010130_class.png
tiles\images\EARTHQUAKE-TURKEY_012630_pre.png,tiles\images\EARTHQUAKE-TURKEY_012630_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012630_class.png
tiles\images\EARTHQUAKE-TURKEY_000690_pre.png,tiles\images\EARTHQUAKE-TURKEY_000690_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000690_class.png
tiles\images\EARTHQUAKE-TURKEY_016889_pre.png,tiles\images\EARTHQUAKE-TURKEY_016889_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016889_class.png
tiles\images\EARTHQUAKE-TURKEY_015929_pre.png,tiles\images\EARTHQUAKE-TURKEY_015929_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_015929_class.png
tiles\images\EARTHQUAKE-TURKEY_008533_pre.png,tiles\images\EARTHQUAKE-TURKEY_008533_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_008533_class.png
tiles\images\EARTHQUAKE-TURKEY_013333_pre.png,tiles\images\EARTHQUAKE-TURKEY_013333_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013333_class.png
tiles\images\EARTHQUAKE-TURKEY_014599_pre.png,tiles\images\EARTHQUAKE-TURKEY_014599_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014599_class.png
tiles\images\EARTHQUAKE-TURKEY_014009_pre.png,tiles\images\EARTHQUAKE-TURKEY_014009_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014009_class.png
tiles\images\EARTHQUAKE-TURKEY_006464_pre.png,tiles\images\EARTHQUAKE-TURKEY_006464_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006464_class.png
tiles\images\EARTHQUAKE-TURKEY_006824_pre.png,tiles\images\EARTHQUAKE-TURKEY_006824_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_006824_class.png
tiles\images\EARTHQUAKE-TURKEY_002714_pre.png,tiles\images\EARTHQUAKE-TURKEY_002714_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_002714_class.png
tiles\images\EARTHQUAKE-TURKEY_012484_pre.png,tiles\images\EARTHQUAKE-TURKEY_012484_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012484_class.png
tiles\images\EARTHQUAKE-TURKEY_017920_pre.png,tiles\images\EARTHQUAKE-TURKEY_017920_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017920_class.png
tiles\images\EARTHQUAKE-TURKEY_010268_pre.png,tiles\images\EARTHQUAKE-TURKEY_010268_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_010268_class.png
tiles\images\EARTHQUAKE-TURKEY_000996_pre.png,tiles\images\EARTHQUAKE-TURKEY_000996_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000996_class.png
tiles\images\EARTHQUAKE-TURKEY_016884_pre.png,tiles\images\EARTHQUAKE-TURKEY_016884_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_016884_class.png
tiles\images\EARTHQUAKE-TURKEY_011228_pre.png,tiles\images\EARTHQUAKE-TURKEY_011228_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_011228_class.png
tiles\images\EARTHQUAKE-TURKEY_007403_pre.png,tiles\images\EARTHQUAKE-TURKEY_007403_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007403_class.png
tiles\images\EARTHQUAKE-TURKEY_007102_pre.png,tiles\images\EARTHQUAKE-TURKEY_007102_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_007102_class.png
tiles\images\EARTHQUAKE-TURKEY_017667_pre.png,tiles\images\EARTHQUAKE-TURKEY_017667_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_017667_class.png
tiles\images\EARTHQUAKE-TURKEY_014143_pre.png,tiles\images\EARTHQUAKE-TURKEY_014143_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014143_class.png
tiles\images\EARTHQUAKE-TURKEY_005630_pre.png,tiles\images\EARTHQUAKE-TURKEY_005630_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005630_class.png
tiles\images\EARTHQUAKE-TURKEY_013224_pre.png,tiles\images\EARTHQUAKE-TURKEY_013224_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_013224_class.png
tiles\images\EARTHQUAKE-TURKEY_014908_pre.png,tiles\images\EARTHQUAKE-TURKEY_014908_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014908_class.png
tiles\images\EARTHQUAKE-TURKEY_014570_pre.png,tiles\images\EARTHQUAKE-TURKEY_014570_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_014570_class.png
tiles\images\EARTHQUAKE-TURKEY_005266_pre.png,tiles\images\EARTHQUAKE-TURKEY_005266_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_005266_class.png
tiles\images\EARTHQUAKE-TURKEY_000418_pre.png,tiles\images\EARTHQUAKE-TURKEY_000418_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_000418_class.png
tiles\images\EARTHQUAKE-TURKEY_012001_pre.png,tiles\images\EARTHQUAKE-TURKEY_012001_post.png,pseudo_labels\masks\EARTHQUAKE-TURKEY_012001_class.png
