pre,post,mask
tiles/images\EARTHQUAKE-TURKEY_000804_pre.png,tiles/images\EARTHQUAKE-TURKEY_000804_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000804_class.png
tiles/images\EARTHQUAKE-TURKEY_000818_pre.png,tiles/images\EARTHQUAKE-TURKEY_000818_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000818_class.png
tiles/images\EARTHQUAKE-TURKEY_000828_pre.png,tiles/images\EARTHQUAKE-TURKEY_000828_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000828_class.png
tiles/images\EARTHQUAKE-TURKEY_000830_pre.png,tiles/images\EARTHQUAKE-TURKEY_000830_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000830_class.png
tiles/images\EARTHQUAKE-TURKEY_000854_pre.png,tiles/images\EARTHQUAKE-TURKEY_000854_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000854_class.png
tiles/images\EARTHQUAKE-TURKEY_000878_pre.png,tiles/images\EARTHQUAKE-TURKEY_000878_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000878_class.png
tiles/images\EARTHQUAKE-TURKEY_000883_pre.png,tiles/images\EARTHQUAKE-TURKEY_000883_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000883_class.png
tiles/images\EARTHQUAKE-TURKEY_000897_pre.png,tiles/images\EARTHQUAKE-TURKEY_000897_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000897_class.png
tiles/images\EARTHQUAKE-TURKEY_000900_pre.png,tiles/images\EARTHQUAKE-TURKEY_000900_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000900_class.png
tiles/images\EARTHQUAKE-TURKEY_000943_pre.png,tiles/images\EARTHQUAKE-TURKEY_000943_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000943_class.png
tiles/images\EARTHQUAKE-TURKEY_000951_pre.png,tiles/images\EARTHQUAKE-TURKEY_000951_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000951_class.png
tiles/images\EARTHQUAKE-TURKEY_000978_pre.png,tiles/images\EARTHQUAKE-TURKEY_000978_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000978_class.png
tiles/images\EARTHQUAKE-TURKEY_000986_pre.png,tiles/images\EARTHQUAKE-TURKEY_000986_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000986_class.png
tiles/images\EARTHQUAKE-TURKEY_000996_pre.png,tiles/images\EARTHQUAKE-TURKEY_000996_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_000996_class.png
tiles/images\EARTHQUAKE-TURKEY_001016_pre.png,tiles/images\EARTHQUAKE-TURKEY_001016_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001016_class.png
tiles/images\EARTHQUAKE-TURKEY_001027_pre.png,tiles/images\EARTHQUAKE-TURKEY_001027_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001027_class.png
tiles/images\EARTHQUAKE-TURKEY_001050_pre.png,tiles/images\EARTHQUAKE-TURKEY_001050_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001050_class.png
tiles/images\EARTHQUAKE-TURKEY_001077_pre.png,tiles/images\EARTHQUAKE-TURKEY_001077_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001077_class.png
tiles/images\EARTHQUAKE-TURKEY_001085_pre.png,tiles/images\EARTHQUAKE-TURKEY_001085_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001085_class.png
tiles/images\EARTHQUAKE-TURKEY_001132_pre.png,tiles/images\EARTHQUAKE-TURKEY_001132_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001132_class.png
tiles/images\EARTHQUAKE-TURKEY_001159_pre.png,tiles/images\EARTHQUAKE-TURKEY_001159_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001159_class.png
tiles/images\EARTHQUAKE-TURKEY_001212_pre.png,tiles/images\EARTHQUAKE-TURKEY_001212_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001212_class.png
tiles/images\EARTHQUAKE-TURKEY_001233_pre.png,tiles/images\EARTHQUAKE-TURKEY_001233_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001233_class.png
tiles/images\EARTHQUAKE-TURKEY_001236_pre.png,tiles/images\EARTHQUAKE-TURKEY_001236_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001236_class.png
tiles/images\EARTHQUAKE-TURKEY_001251_pre.png,tiles/images\EARTHQUAKE-TURKEY_001251_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001251_class.png
tiles/images\EARTHQUAKE-TURKEY_001258_pre.png,tiles/images\EARTHQUAKE-TURKEY_001258_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001258_class.png
tiles/images\EARTHQUAKE-TURKEY_001261_pre.png,tiles/images\EARTHQUAKE-TURKEY_001261_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001261_class.png
tiles/images\EARTHQUAKE-TURKEY_001330_pre.png,tiles/images\EARTHQUAKE-TURKEY_001330_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001330_class.png
tiles/images\EARTHQUAKE-TURKEY_001402_pre.png,tiles/images\EARTHQUAKE-TURKEY_001402_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001402_class.png
tiles/images\EARTHQUAKE-TURKEY_001417_pre.png,tiles/images\EARTHQUAKE-TURKEY_001417_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001417_class.png
tiles/images\EARTHQUAKE-TURKEY_001427_pre.png,tiles/images\EARTHQUAKE-TURKEY_001427_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001427_class.png
tiles/images\EARTHQUAKE-TURKEY_001435_pre.png,tiles/images\EARTHQUAKE-TURKEY_001435_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001435_class.png
tiles/images\EARTHQUAKE-TURKEY_001437_pre.png,tiles/images\EARTHQUAKE-TURKEY_001437_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001437_class.png
tiles/images\EARTHQUAKE-TURKEY_001502_pre.png,tiles/images\EARTHQUAKE-TURKEY_001502_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001502_class.png
tiles/images\EARTHQUAKE-TURKEY_001627_pre.png,tiles/images\EARTHQUAKE-TURKEY_001627_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001627_class.png
tiles/images\EARTHQUAKE-TURKEY_001687_pre.png,tiles/images\EARTHQUAKE-TURKEY_001687_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001687_class.png
tiles/images\EARTHQUAKE-TURKEY_001690_pre.png,tiles/images\EARTHQUAKE-TURKEY_001690_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001690_class.png
tiles/images\EARTHQUAKE-TURKEY_001729_pre.png,tiles/images\EARTHQUAKE-TURKEY_001729_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001729_class.png
tiles/images\EARTHQUAKE-TURKEY_001740_pre.png,tiles/images\EARTHQUAKE-TURKEY_001740_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001740_class.png
tiles/images\EARTHQUAKE-TURKEY_001764_pre.png,tiles/images\EARTHQUAKE-TURKEY_001764_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001764_class.png
tiles/images\EARTHQUAKE-TURKEY_001779_pre.png,tiles/images\EARTHQUAKE-TURKEY_001779_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001779_class.png
tiles/images\EARTHQUAKE-TURKEY_001811_pre.png,tiles/images\EARTHQUAKE-TURKEY_001811_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001811_class.png
tiles/images\EARTHQUAKE-TURKEY_001818_pre.png,tiles/images\EARTHQUAKE-TURKEY_001818_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001818_class.png
tiles/images\EARTHQUAKE-TURKEY_001933_pre.png,tiles/images\EARTHQUAKE-TURKEY_001933_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001933_class.png
tiles/images\EARTHQUAKE-TURKEY_001948_pre.png,tiles/images\EARTHQUAKE-TURKEY_001948_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001948_class.png
tiles/images\EARTHQUAKE-TURKEY_001949_pre.png,tiles/images\EARTHQUAKE-TURKEY_001949_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001949_class.png
tiles/images\EARTHQUAKE-TURKEY_001978_pre.png,tiles/images\EARTHQUAKE-TURKEY_001978_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001978_class.png
tiles/images\EARTHQUAKE-TURKEY_001982_pre.png,tiles/images\EARTHQUAKE-TURKEY_001982_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001982_class.png
tiles/images\EARTHQUAKE-TURKEY_001985_pre.png,tiles/images\EARTHQUAKE-TURKEY_001985_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001985_class.png
tiles/images\EARTHQUAKE-TURKEY_001998_pre.png,tiles/images\EARTHQUAKE-TURKEY_001998_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_001998_class.png
tiles/images\EARTHQUAKE-TURKEY_002032_pre.png,tiles/images\EARTHQUAKE-TURKEY_002032_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002032_class.png
tiles/images\EARTHQUAKE-TURKEY_002041_pre.png,tiles/images\EARTHQUAKE-TURKEY_002041_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002041_class.png
tiles/images\EARTHQUAKE-TURKEY_002055_pre.png,tiles/images\EARTHQUAKE-TURKEY_002055_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002055_class.png
tiles/images\EARTHQUAKE-TURKEY_002136_pre.png,tiles/images\EARTHQUAKE-TURKEY_002136_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002136_class.png
tiles/images\EARTHQUAKE-TURKEY_002137_pre.png,tiles/images\EARTHQUAKE-TURKEY_002137_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002137_class.png
tiles/images\EARTHQUAKE-TURKEY_002153_pre.png,tiles/images\EARTHQUAKE-TURKEY_002153_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002153_class.png
tiles/images\EARTHQUAKE-TURKEY_002156_pre.png,tiles/images\EARTHQUAKE-TURKEY_002156_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002156_class.png
tiles/images\EARTHQUAKE-TURKEY_002181_pre.png,tiles/images\EARTHQUAKE-TURKEY_002181_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002181_class.png
tiles/images\EARTHQUAKE-TURKEY_002209_pre.png,tiles/images\EARTHQUAKE-TURKEY_002209_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002209_class.png
tiles/images\EARTHQUAKE-TURKEY_002215_pre.png,tiles/images\EARTHQUAKE-TURKEY_002215_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002215_class.png
tiles/images\EARTHQUAKE-TURKEY_002238_pre.png,tiles/images\EARTHQUAKE-TURKEY_002238_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002238_class.png
tiles/images\EARTHQUAKE-TURKEY_002247_pre.png,tiles/images\EARTHQUAKE-TURKEY_002247_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002247_class.png
tiles/images\EARTHQUAKE-TURKEY_002303_pre.png,tiles/images\EARTHQUAKE-TURKEY_002303_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002303_class.png
tiles/images\EARTHQUAKE-TURKEY_002310_pre.png,tiles/images\EARTHQUAKE-TURKEY_002310_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002310_class.png
tiles/images\EARTHQUAKE-TURKEY_002336_pre.png,tiles/images\EARTHQUAKE-TURKEY_002336_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002336_class.png
tiles/images\EARTHQUAKE-TURKEY_002345_pre.png,tiles/images\EARTHQUAKE-TURKEY_002345_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002345_class.png
tiles/images\EARTHQUAKE-TURKEY_002347_pre.png,tiles/images\EARTHQUAKE-TURKEY_002347_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002347_class.png
tiles/images\EARTHQUAKE-TURKEY_002388_pre.png,tiles/images\EARTHQUAKE-TURKEY_002388_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002388_class.png
tiles/images\EARTHQUAKE-TURKEY_002394_pre.png,tiles/images\EARTHQUAKE-TURKEY_002394_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002394_class.png
tiles/images\EARTHQUAKE-TURKEY_002395_pre.png,tiles/images\EARTHQUAKE-TURKEY_002395_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002395_class.png
tiles/images\EARTHQUAKE-TURKEY_002400_pre.png,tiles/images\EARTHQUAKE-TURKEY_002400_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002400_class.png
tiles/images\EARTHQUAKE-TURKEY_002429_pre.png,tiles/images\EARTHQUAKE-TURKEY_002429_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002429_class.png
tiles/images\EARTHQUAKE-TURKEY_002435_pre.png,tiles/images\EARTHQUAKE-TURKEY_002435_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002435_class.png
tiles/images\EARTHQUAKE-TURKEY_002441_pre.png,tiles/images\EARTHQUAKE-TURKEY_002441_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002441_class.png
tiles/images\EARTHQUAKE-TURKEY_002454_pre.png,tiles/images\EARTHQUAKE-TURKEY_002454_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002454_class.png
tiles/images\EARTHQUAKE-TURKEY_002514_pre.png,tiles/images\EARTHQUAKE-TURKEY_002514_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002514_class.png
tiles/images\EARTHQUAKE-TURKEY_002515_pre.png,tiles/images\EARTHQUAKE-TURKEY_002515_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002515_class.png
tiles/images\EARTHQUAKE-TURKEY_002517_pre.png,tiles/images\EARTHQUAKE-TURKEY_002517_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002517_class.png
tiles/images\EARTHQUAKE-TURKEY_002562_pre.png,tiles/images\EARTHQUAKE-TURKEY_002562_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002562_class.png
tiles/images\EARTHQUAKE-TURKEY_002598_pre.png,tiles/images\EARTHQUAKE-TURKEY_002598_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002598_class.png
tiles/images\EARTHQUAKE-TURKEY_002615_pre.png,tiles/images\EARTHQUAKE-TURKEY_002615_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002615_class.png
tiles/images\EARTHQUAKE-TURKEY_002632_pre.png,tiles/images\EARTHQUAKE-TURKEY_002632_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002632_class.png
tiles/images\EARTHQUAKE-TURKEY_002650_pre.png,tiles/images\EARTHQUAKE-TURKEY_002650_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002650_class.png
tiles/images\EARTHQUAKE-TURKEY_002664_pre.png,tiles/images\EARTHQUAKE-TURKEY_002664_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002664_class.png
tiles/images\EARTHQUAKE-TURKEY_002670_pre.png,tiles/images\EARTHQUAKE-TURKEY_002670_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002670_class.png
tiles/images\EARTHQUAKE-TURKEY_002675_pre.png,tiles/images\EARTHQUAKE-TURKEY_002675_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002675_class.png
tiles/images\EARTHQUAKE-TURKEY_002693_pre.png,tiles/images\EARTHQUAKE-TURKEY_002693_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002693_class.png
tiles/images\EARTHQUAKE-TURKEY_002710_pre.png,tiles/images\EARTHQUAKE-TURKEY_002710_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002710_class.png
tiles/images\EARTHQUAKE-TURKEY_002714_pre.png,tiles/images\EARTHQUAKE-TURKEY_002714_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002714_class.png
tiles/images\EARTHQUAKE-TURKEY_002792_pre.png,tiles/images\EARTHQUAKE-TURKEY_002792_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002792_class.png
tiles/images\EARTHQUAKE-TURKEY_002867_pre.png,tiles/images\EARTHQUAKE-TURKEY_002867_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002867_class.png
tiles/images\EARTHQUAKE-TURKEY_002900_pre.png,tiles/images\EARTHQUAKE-TURKEY_002900_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002900_class.png
tiles/images\EARTHQUAKE-TURKEY_002904_pre.png,tiles/images\EARTHQUAKE-TURKEY_002904_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_002904_class.png
tiles/images\EARTHQUAKE-TURKEY_003004_pre.png,tiles/images\EARTHQUAKE-TURKEY_003004_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003004_class.png
tiles/images\EARTHQUAKE-TURKEY_003006_pre.png,tiles/images\EARTHQUAKE-TURKEY_003006_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003006_class.png
tiles/images\EARTHQUAKE-TURKEY_003012_pre.png,tiles/images\EARTHQUAKE-TURKEY_003012_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003012_class.png
tiles/images\EARTHQUAKE-TURKEY_003054_pre.png,tiles/images\EARTHQUAKE-TURKEY_003054_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003054_class.png
tiles/images\EARTHQUAKE-TURKEY_003074_pre.png,tiles/images\EARTHQUAKE-TURKEY_003074_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003074_class.png
tiles/images\EARTHQUAKE-TURKEY_003078_pre.png,tiles/images\EARTHQUAKE-TURKEY_003078_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003078_class.png
tiles/images\EARTHQUAKE-TURKEY_003084_pre.png,tiles/images\EARTHQUAKE-TURKEY_003084_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003084_class.png
tiles/images\EARTHQUAKE-TURKEY_003102_pre.png,tiles/images\EARTHQUAKE-TURKEY_003102_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003102_class.png
tiles/images\EARTHQUAKE-TURKEY_003104_pre.png,tiles/images\EARTHQUAKE-TURKEY_003104_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003104_class.png
tiles/images\EARTHQUAKE-TURKEY_003114_pre.png,tiles/images\EARTHQUAKE-TURKEY_003114_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003114_class.png
tiles/images\EARTHQUAKE-TURKEY_003123_pre.png,tiles/images\EARTHQUAKE-TURKEY_003123_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003123_class.png
tiles/images\EARTHQUAKE-TURKEY_003144_pre.png,tiles/images\EARTHQUAKE-TURKEY_003144_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003144_class.png
tiles/images\EARTHQUAKE-TURKEY_003222_pre.png,tiles/images\EARTHQUAKE-TURKEY_003222_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003222_class.png
tiles/images\EARTHQUAKE-TURKEY_003223_pre.png,tiles/images\EARTHQUAKE-TURKEY_003223_post.png,pseudo_labels_forced/masks\EARTHQUAKE-TURKEY_003223_class.png
